pairkey,white_ratio,fallback,fallback_percentile
IMG_210204_095113_0000_,0.03384971618652344,1,93.0
IMG_210204_095115_0001_,0.02886199951171875,1,96.0
IMG_210204_095117_0002_,0.028494834899902344,1,95.0
IMG_210204_095119_0003_,0.030742645263671875,1,96.0
IMG_210204_095121_0004_,0.03330421447753906,1,93.0
IMG_210204_095123_0005_,0.02876758575439453,1,96.0
IMG_210204_095125_0006_,0.03070545196533203,1,96.0
IMG_210204_095127_0007_,0.028740882873535156,1,97.0
IMG_210204_095129_0008_,0.031087875366210938,1,95.0
IMG_210204_095131_0009_,0.03176689147949219,1,95.0
IMG_210204_095132_0010_,0.02887725830078125,1,95.0
IMG_210204_095134_0011_,0.03048992156982422,1,96.0
IMG_210204_095136_0012_,0.03326225280761719,1,95.0
IMG_210204_095138_0013_,0.03238868713378906,1,95.0
IMG_210204_095140_0014_,0.03056621551513672,1,96.0
IMG_210204_095142_0015_,0.030986785888671875,1,97.0
IMG_210204_095144_0016_,0.032074928283691406,1,97.0
IMG_210204_095146_0017_,0.0276947021484375,1,95.0
IMG_210204_095148_0018_,0.02705097198486328,1,97.0
IMG_210204_095149_0019_,0.030707359313964844,1,96.0
IMG_210204_095151_0020_,0.030323028564453125,1,92.0
IMG_210204_095153_0021_,0.030028343200683594,1,95.0
IMG_210204_095155_0022_,0.032227516174316406,1,95.0
IMG_210204_095219_0023_,0.02947235107421875,1,93.0
IMG_210204_095221_0024_,0.028167724609375,1,93.0
IMG_210204_095223_0025_,0.02767467498779297,1,95.0
IMG_210204_095225_0026_,0.032001495361328125,1,96.0
IMG_210204_095227_0027_,0.029348373413085938,1,96.0
IMG_210204_095229_0028_,0.02803802490234375,1,97.0
IMG_210204_095230_0029_,0.028575897216796875,1,96.0
IMG_210204_095232_0030_,0.031149864196777344,1,96.0
IMG_210204_095234_0031_,0.030185699462890625,1,96.0
IMG_210204_095236_0032_,0.032502174377441406,1,96.0
IMG_210204_095238_0033_,0.027205467224121094,1,97.0
IMG_210204_095239_0034_,0.028644561767578125,1,97.0
IMG_210204_095241_0035_,0.03323650360107422,1,97.0
IMG_210204_095243_0036_,0.02791881561279297,1,97.0
IMG_210204_095245_0037_,0.03155326843261719,1,95.0
IMG_210204_095247_0038_,0.03196525573730469,1,96.0
IMG_210204_095249_0039_,0.03112506866455078,1,96.0
IMG_210204_095250_0040_,0.03182792663574219,1,96.0
IMG_210204_095252_0041_,0.031744956970214844,1,96.0
IMG_210204_095254_0042_,0.031531333923339844,1,96.0
IMG_210204_095256_0043_,0.02846527099609375,1,96.0
IMG_210204_095258_0044_,0.030855178833007812,1,93.0
IMG_210204_095300_0045_,0.030487060546875,1,95.0
IMG_210204_095302_0046_,0.026017189025878906,1,95.0
IMG_210204_095303_0047_,0.03012371063232422,1,95.0
IMG_210204_095305_0048_,0.031314849853515625,1,95.0
IMG_210204_095307_0049_,0.028847694396972656,1,96.0
IMG_210204_095309_0050_,0.03232383728027344,1,93.0
IMG_210204_095311_0051_,0.02834796905517578,1,96.0
IMG_210204_095313_0052_,0.029260635375976562,1,97.0
IMG_210204_095314_0053_,0.030597686767578125,1,97.0
IMG_210204_095316_0054_,0.03111743927001953,1,96.0
IMG_210204_095318_0055_,0.030752182006835938,1,95.0
IMG_210204_095320_0056_,0.027001380920410156,1,93.0
IMG_210204_095322_0057_,0.026983261108398438,1,95.0
IMG_210204_095323_0058_,0.031516075134277344,1,97.0
IMG_210204_095325_0059_,0.02840137481689453,1,97.0
IMG_210204_095348_0060_,0.031459808349609375,1,95.0
IMG_210204_095350_0061_,0.02962493896484375,1,96.0
IMG_210204_095352_0062_,0.031180381774902344,1,96.0
IMG_210204_095354_0063_,0.027634620666503906,1,97.0
IMG_210204_095356_0064_,0.033614158630371094,1,96.0
IMG_210204_095358_0065_,0.02794361114501953,1,95.0
IMG_210204_095400_0066_,0.032904624938964844,1,96.0
IMG_210204_095402_0067_,0.027344703674316406,1,97.0
IMG_210204_095404_0068_,0.02855396270751953,1,95.0
IMG_210204_095406_0069_,0.03298664093017578,1,96.0
IMG_210204_095408_0070_,0.031269073486328125,1,96.0
IMG_210204_095410_0071_,0.03236961364746094,1,96.0
IMG_210204_095412_0072_,0.030328750610351562,1,96.0
IMG_210204_095413_0073_,0.032355308532714844,1,95.0
IMG_210204_095415_0074_,0.02978515625,1,95.0
IMG_210204_095417_0075_,0.02831745147705078,1,93.0
IMG_210204_095419_0076_,0.027513504028320312,1,95.0
IMG_210204_095421_0077_,0.028289794921875,1,96.0
IMG_210204_095423_0078_,0.027001380920410156,1,96.0
IMG_210204_095425_0079_,0.033008575439453125,1,95.0
IMG_210204_095427_0080_,0.031034469604492188,1,93.0
IMG_210204_095429_0081_,0.03156089782714844,1,96.0
IMG_210204_095431_0082_,0.028243064880371094,1,96.0
IMG_210204_095433_0083_,0.02783966064453125,1,95.0
IMG_210204_095435_0084_,0.03267478942871094,1,96.0
IMG_210204_095437_0085_,0.026500701904296875,1,97.0
IMG_210204_095439_0086_,0.030037879943847656,1,97.0
IMG_210204_095441_0087_,0.02794361114501953,1,97.0
IMG_210204_095443_0088_,0.028211593627929688,1,96.0
IMG_210204_095445_0089_,0.03175830841064453,1,97.0
IMG_210204_095449_0091_,0.02943134307861328,1,95.0
IMG_210204_095450_0092_,0.03072357177734375,1,96.0
IMG_210204_095452_0093_,0.03141498565673828,1,95.0
IMG_210204_095454_0094_,0.028601646423339844,1,95.0
IMG_210204_095456_0095_,0.02692127227783203,1,95.0
IMG_210204_095520_0096_,0.03389549255371094,1,97.0
IMG_210204_095522_0097_,0.03072834014892578,1,96.0
IMG_210204_095524_0098_,0.030904769897460938,1,95.0
IMG_210204_095526_0099_,0.030394554138183594,1,95.0
IMG_210204_095528_0100_,0.031063079833984375,1,95.0
IMG_210204_095530_0101_,0.02981281280517578,1,97.0
IMG_210204_095531_0102_,0.030648231506347656,1,96.0
IMG_210204_095533_0103_,0.0285186767578125,1,97.0
IMG_210204_095535_0104_,0.029145240783691406,1,96.0
IMG_210204_095537_0105_,0.033707618713378906,1,96.0
IMG_210204_095539_0106_,0.029397964477539062,1,97.0
IMG_210204_095540_0107_,0.030165672302246094,1,97.0
IMG_210204_095542_0108_,0.029895782470703125,1,97.0
IMG_210204_095544_0109_,0.034424781799316406,1,97.0
IMG_210204_095546_0110_,0.030122756958007812,1,97.0
IMG_210204_095548_0111_,0.032093048095703125,1,97.0
IMG_210204_095549_0112_,0.028713226318359375,1,97.0
IMG_210204_095551_0113_,0.028136253356933594,1,97.0
IMG_210204_095553_0114_,0.029709815979003906,1,96.0
IMG_210204_095555_0115_,0.03332328796386719,1,96.0
IMG_210204_095557_0116_,0.03357696533203125,1,96.0
IMG_210204_095559_0117_,0.02703571319580078,1,97.0
IMG_210204_095601_0118_,0.027385711669921875,1,95.0
IMG_210204_095603_0119_,0.029577255249023438,1,95.0
IMG_210204_095604_0120_,0.02731800079345703,1,96.0
IMG_210204_095606_0121_,0.028801918029785156,1,95.0
IMG_210204_095608_0122_,0.028408050537109375,1,93.0
IMG_210204_095610_0123_,0.0305023193359375,1,93.0
IMG_210204_095612_0124_,0.02741527557373047,1,93.0
IMG_210204_095614_0125_,0.02888011932373047,1,93.0
IMG_210204_095615_0126_,0.029184341430664062,1,93.0
IMG_210204_095617_0127_,0.03014850616455078,1,93.0
IMG_210204_095619_0128_,0.026940345764160156,1,95.0
IMG_210204_095621_0129_,0.03378582000732422,1,93.0
IMG_210204_095623_0130_,0.030094146728515625,1,95.0
IMG_210204_095625_0131_,0.02806377410888672,1,95.0
IMG_210204_095626_0132_,0.027474403381347656,1,92.0
IMG_210204_095628_0133_,0.025873184204101562,1,95.0
IMG_210204_095630_0134_,0.03186321258544922,1,93.0
IMG_210204_095653_0135_,0.03413581848144531,1,95.0
IMG_210204_095655_0136_,0.03205585479736328,1,96.0
IMG_210204_095657_0137_,0.028591156005859375,1,96.0
IMG_210204_095659_0138_,0.029288291931152344,1,93.0
IMG_210204_095701_0139_,0.02885150909423828,1,95.0
IMG_210204_095702_0140_,0.029857635498046875,1,95.0
IMG_210204_095704_0141_,0.029214859008789062,1,95.0
IMG_210204_095706_0142_,0.02956676483154297,1,96.0
IMG_210204_095708_0143_,0.032364845275878906,1,93.0
IMG_210204_095710_0144_,0.027021408081054688,1,95.0
IMG_210204_095712_0145_,0.03455162048339844,1,93.0
IMG_210204_095714_0146_,0.029279708862304688,1,95.0
IMG_210204_095716_0147_,0.02712535858154297,1,96.0
IMG_210204_095718_0148_,0.032410621643066406,1,93.0
IMG_210204_095720_0149_,0.03334808349609375,1,93.0
IMG_210204_095722_0150_,0.02859783172607422,1,93.0
IMG_210204_095723_0151_,0.032128334045410156,1,96.0
IMG_210204_095725_0152_,0.02914905548095703,1,96.0
IMG_210204_095727_0153_,0.03310680389404297,1,93.0
IMG_210204_095729_0154_,0.029108047485351562,1,96.0
IMG_210204_095731_0155_,0.03049182891845703,1,96.0
IMG_210204_095733_0156_,0.029046058654785156,1,97.0
IMG_210204_095735_0157_,0.031187057495117188,1,97.0
IMG_210204_095737_0158_,0.031213760375976562,1,97.0
IMG_210204_095739_0159_,0.028696060180664062,1,97.0
IMG_210204_095740_0160_,0.031212806701660156,1,96.0
IMG_210204_095742_0161_,0.032955169677734375,1,96.0
IMG_210204_095744_0162_,0.025636672973632812,1,98.0
IMG_210204_095746_0163_,0.026993751525878906,1,97.0
IMG_210204_095748_0164_,0.02854156494140625,1,97.0
IMG_210204_095750_0165_,0.02797412872314453,1,97.0
IMG_210204_095752_0166_,0.0266571044921875,1,97.0
IMG_210204_095754_0167_,0.029387474060058594,1,97.0
IMG_210204_095756_0168_,0.028405189514160156,1,97.0
IMG_210204_095758_0169_,0.03182506561279297,1,95.0
IMG_210204_095800_0170_,0.02998638153076172,1,96.0
IMG_210204_095802_0171_,0.027242660522460938,1,97.0
IMG_210204_095804_0172_,0.02827739715576172,1,97.0
IMG_210204_095828_0173_,0.029028892517089844,1,95.0
IMG_210204_095830_0174_,0.029176712036132812,1,97.0
IMG_210204_095832_0175_,0.031411170959472656,1,95.0
IMG_210204_095833_0176_,0.029938697814941406,1,97.0
IMG_210204_095835_0177_,0.031868934631347656,1,96.0
IMG_210204_095837_0178_,0.03267383575439453,1,95.0
IMG_210204_095838_0179_,0.02780628204345703,1,97.0
IMG_210204_095840_0180_,0.030234336853027344,1,97.0
IMG_210204_095842_0181_,0.03057575225830078,1,97.0
IMG_210204_095843_0182_,0.03148078918457031,1,97.0
IMG_210204_095845_0183_,0.03196239471435547,1,97.0
IMG_210204_095847_0184_,0.029023170471191406,1,97.0
IMG_210204_095849_0185_,0.0321044921875,1,97.0
IMG_210204_095850_0186_,0.03456687927246094,1,97.0
IMG_210204_095852_0187_,0.03406047821044922,1,97.0
IMG_210204_095854_0188_,0.024768829345703125,1,98.0
IMG_210204_095856_0189_,0.03413677215576172,1,97.0
IMG_210204_095857_0190_,0.028174400329589844,1,98.0
IMG_210204_095859_0191_,0.03370094299316406,1,97.0
IMG_210204_095901_0192_,0.024970054626464844,1,98.0
IMG_210204_095903_0193_,0.027917861938476562,1,98.0
IMG_210204_095905_0194_,0.02846050262451172,1,97.0
IMG_210204_095907_0195_,0.028389930725097656,1,96.0
IMG_210204_095909_0196_,0.0325469970703125,1,97.0
IMG_210204_095910_0197_,0.029107093811035156,1,95.0
IMG_210204_095912_0198_,0.027220726013183594,1,96.0
IMG_210204_095914_0199_,0.02791881561279297,1,96.0
IMG_210204_095916_0200_,0.027124404907226562,1,97.0
IMG_210204_095918_0201_,0.02736186981201172,1,97.0
IMG_210204_095920_0202_,0.027347564697265625,1,97.0
IMG_210204_095922_0203_,0.02852344512939453,1,97.0
IMG_210204_095924_0204_,0.02806568145751953,1,96.0
IMG_210204_095926_0205_,0.03259754180908203,1,95.0
IMG_210204_095927_0206_,0.030004501342773438,1,97.0
IMG_210204_095929_0207_,0.030368804931640625,1,96.0
IMG_210204_095931_0208_,0.027683258056640625,1,97.0
IMG_210204_095933_0209_,0.03207683563232422,1,95.0
IMG_210204_095935_0210_,0.03161430358886719,1,96.0
IMG_210204_095959_0211_,0.02602100372314453,1,96.0
IMG_210204_100001_0212_,0.027414321899414062,1,97.0
IMG_210204_100003_0213_,0.029413223266601562,1,97.0
IMG_210204_100005_0214_,0.028191566467285156,1,96.0
IMG_210204_100007_0215_,0.028855323791503906,1,97.0
IMG_210204_100009_0216_,0.027057647705078125,1,96.0
IMG_210204_100011_0217_,0.027292251586914062,1,97.0
IMG_210204_100013_0218_,0.02783966064453125,1,97.0
IMG_210204_100015_0219_,0.030214309692382812,1,96.0
IMG_210204_100017_0220_,0.026671409606933594,1,97.0
IMG_210204_100019_0221_,0.03349590301513672,1,96.0
IMG_210204_100020_0222_,0.028844833374023438,1,97.0
IMG_210204_100022_0223_,0.026673316955566406,1,97.0
IMG_210204_100024_0224_,0.0284423828125,1,96.0
IMG_210204_100026_0225_,0.027204513549804688,1,96.0
IMG_210204_100028_0226_,0.031118392944335938,1,95.0
IMG_210204_100030_0227_,0.031470298767089844,1,95.0
IMG_210204_100032_0228_,0.028166770935058594,1,96.0
IMG_210204_100034_0229_,0.02978038787841797,1,96.0
IMG_210204_100036_0230_,0.027924537658691406,1,97.0
IMG_210204_100037_0231_,0.027100563049316406,1,98.0
IMG_210204_100039_0232_,0.03328704833984375,1,97.0
IMG_210204_100041_0233_,0.027709007263183594,1,98.0
IMG_210204_100043_0234_,0.02634143829345703,1,98.5
IMG_210204_100045_0235_,0.029402732849121094,1,97.0
IMG_210204_100047_0236_,0.026151657104492188,1,98.0
IMG_210204_100049_0237_,0.03199577331542969,1,97.0
IMG_210204_100051_0238_,0.025025367736816406,1,98.0
IMG_210204_100053_0239_,0.03183746337890625,1,97.0
IMG_210204_100055_0240_,0.026520729064941406,1,98.0
IMG_210204_100057_0241_,0.033814430236816406,1,97.0
IMG_210204_100059_0242_,0.029821395874023438,1,97.0
IMG_210204_100101_0243_,0.02824878692626953,1,93.0
IMG_210204_100103_0244_,0.02733135223388672,1,97.0
IMG_210204_100105_0245_,0.02678394317626953,1,97.0
IMG_210204_100107_0246_,0.027594566345214844,1,96.0
IMG_210204_100109_0247_,0.028255462646484375,1,95.0
IMG_210204_100134_0248_,0.026915550231933594,1,97.0
IMG_210204_100136_0249_,0.03041362762451172,1,93.0
IMG_210204_100138_0250_,0.027807235717773438,1,96.0
IMG_210204_100139_0251_,0.032711029052734375,1,96.0
IMG_210204_100141_0252_,0.030429840087890625,1,96.0
IMG_210204_100143_0253_,0.03290748596191406,1,95.0
IMG_210204_100146_0255_,0.030351638793945312,1,96.0
IMG_210204_100148_0256_,0.02936267852783203,1,96.0
IMG_210204_100150_0257_,0.03246498107910156,1,95.0
IMG_210204_100151_0258_,0.03370952606201172,1,97.0
IMG_210204_100153_0259_,0.029814720153808594,1,97.0
IMG_210204_100155_0260_,0.025954246520996094,1,98.0
IMG_210204_100157_0261_,0.03420448303222656,1,97.0
IMG_210204_100158_0262_,0.030752182006835938,1,97.0
IMG_210204_100200_0263_,0.03417491912841797,1,97.0
IMG_210204_100202_0264_,0.033222198486328125,1,97.0
IMG_210204_100204_0265_,0.029993057250976562,1,97.0
IMG_210204_100205_0266_,0.02875041961669922,1,97.0
IMG_210204_100207_0267_,0.0313720703125,1,95.0
IMG_210204_100209_0268_,0.02779865264892578,1,96.0
IMG_210204_100211_0269_,0.02718353271484375,1,95.0
IMG_210204_100212_0270_,0.02709484100341797,1,96.0
IMG_210204_100214_0271_,0.030559539794921875,1,93.0
IMG_210204_100216_0272_,0.02704334259033203,1,95.0
IMG_210204_100218_0273_,0.032858848571777344,1,93.0
IMG_210204_100219_0274_,0.032562255859375,1,93.0
IMG_210204_100221_0275_,0.033893585205078125,1,93.0
IMG_210204_100223_0276_,0.031264305114746094,1,96.0
IMG_210204_100225_0277_,0.03030109405517578,1,96.0
IMG_210204_100227_0278_,0.027406692504882812,1,97.0
IMG_210204_100228_0279_,0.027811050415039062,1,97.0
IMG_210204_100230_0280_,0.027131080627441406,1,97.0
IMG_210204_100232_0281_,0.02736186981201172,1,97.0
IMG_210204_100234_0282_,0.030249595642089844,1,97.0
IMG_210204_100235_0283_,0.03234672546386719,1,96.0
IMG_210204_100257_0284_,0.02918529510498047,1,97.0
IMG_210204_100259_0285_,0.02809619903564453,1,93.0
IMG_210204_100301_0286_,0.030881881713867188,1,97.0
IMG_210204_100303_0287_,0.025155067443847656,1,95.0
IMG_210204_100305_0288_,0.02698230743408203,1,97.0
IMG_210204_100307_0289_,0.030943870544433594,1,96.0
IMG_210204_100309_0290_,0.030017852783203125,1,97.0
IMG_210204_100311_0291_,0.03143596649169922,1,96.0
IMG_210204_100313_0292_,0.02744579315185547,1,97.0
IMG_210204_100315_0293_,0.030759811401367188,1,93.0
IMG_210204_100317_0294_,0.02833271026611328,1,96.0
IMG_210204_100319_0295_,0.029079437255859375,1,95.0
IMG_210204_100321_0296_,0.032135009765625,1,96.0
IMG_210204_100323_0297_,0.02785491943359375,1,95.0
IMG_210204_100324_0298_,0.028283119201660156,1,95.0
IMG_210204_100326_0299_,0.026973724365234375,1,95.0
IMG_210204_100328_0300_,0.02665424346923828,1,97.0
IMG_210204_100330_0301_,0.028789520263671875,1,97.0
IMG_210204_100424_0302_,0.032726287841796875,1,96.0
IMG_210204_100426_0303_,0.030069351196289062,1,95.0
IMG_210204_100428_0304_,0.027391433715820312,1,95.0
IMG_210204_100430_0305_,0.02718353271484375,1,96.0
IMG_210204_100432_0306_,0.02748394012451172,1,95.0
IMG_210204_100434_0307_,0.02913379669189453,1,95.0
IMG_210204_100436_0308_,0.030202865600585938,1,97.0
IMG_210204_100438_0309_,0.0301513671875,1,96.0
IMG_210204_100440_0310_,0.03222465515136719,1,97.0
IMG_210204_100442_0311_,0.028512954711914062,1,97.0
IMG_210204_100444_0312_,0.028548240661621094,1,97.0
IMG_210204_100446_0313_,0.031087875366210938,1,96.0
IMG_210204_100449_0314_,0.029476165771484375,1,97.0
IMG_210204_100451_0315_,0.028878211975097656,1,95.0
IMG_210204_100453_0316_,0.028115272521972656,1,96.0
IMG_210204_100455_0317_,0.03083324432373047,1,95.0
IMG_210204_100457_0318_,0.03354358673095703,1,96.0
IMG_210204_100500_0319_,0.03224754333496094,1,95.0
IMG_210204_100502_0320_,0.031890869140625,1,95.0
IMG_210204_100504_0321_,0.03048419952392578,1,96.0
IMG_210204_100506_0322_,0.027399063110351562,1,96.0
IMG_210204_100530_0323_,0.027169227600097656,1,96.0
IMG_210204_100532_0324_,0.027082443237304688,1,95.0
IMG_210204_100534_0325_,0.02708148956298828,1,96.0
IMG_210204_100535_0326_,0.0286407470703125,1,95.0
IMG_210204_100537_0327_,0.02994537353515625,1,95.0
IMG_210204_100539_0328_,0.028263092041015625,1,96.0
IMG_210204_100540_0329_,0.03131675720214844,1,95.0
IMG_210204_100542_0330_,0.03002166748046875,1,95.0
IMG_210204_100544_0331_,0.028387069702148438,1,96.0
IMG_210204_100545_0332_,0.031571388244628906,1,96.0
IMG_210204_100547_0333_,0.030365943908691406,1,97.0
IMG_210204_100549_0334_,0.030142784118652344,1,95.0
IMG_210204_100550_0335_,0.02544879913330078,1,95.0
IMG_210204_100552_0336_,0.030670166015625,1,95.0
IMG_210204_100554_0337_,0.027548789978027344,1,93.0
IMG_210204_100555_0338_,0.03348350524902344,1,96.0
IMG_210204_100557_0339_,0.030010223388671875,1,96.0
IMG_210204_100559_0340_,0.03239917755126953,1,96.0
IMG_210204_100601_0341_,0.03127861022949219,1,95.0
IMG_210204_100602_0342_,0.028601646423339844,1,93.0
IMG_210204_100604_0343_,0.02948284149169922,1,96.0
IMG_210204_100628_0344_,0.030488967895507812,1,96.0
IMG_210204_100630_0345_,0.02683258056640625,1,95.0
IMG_210204_100632_0346_,0.02989482879638672,1,95.0
IMG_210204_100634_0347_,0.027472496032714844,1,96.0
IMG_210204_100636_0348_,0.03117084503173828,1,96.0
IMG_210204_100638_0349_,0.031922340393066406,1,93.0
IMG_210204_100640_0350_,0.029776573181152344,1,95.0
IMG_210204_100642_0351_,0.027154922485351562,1,95.0
IMG_210204_100644_0352_,0.02940654754638672,1,95.0
IMG_210204_100646_0353_,0.030287742614746094,1,96.0
IMG_210204_100648_0354_,0.029508590698242188,1,93.0
IMG_210204_100650_0355_,0.02763652801513672,1,96.0
IMG_210204_100652_0356_,0.032761573791503906,1,96.0
